country,date,elo_rating
Chile,2025-09-04 00:00:00,1683
Chile,2025-09-09 00:00:00,1690
Chile,2026-03-27 00:00:00,1743
Chile,2026-03-30 00:00:00,1710
China PR,2026-01-26 00:00:00,1409
China PR,2026-03-27 00:00:00,1435
Colombia,2025-06-06 00:00:00,1936
Colombia,2025-06-10 00:00:00,1950
Colombia,2025-09-04 00:00:00,1957
Colombia,2025-09-09 00:00:00,1981
Colombia,2025-10-11 00:00:00,1993
Colombia,2025-10-14 00:00:00,1988
Colombia,2025-11-15 00:00:00,1990
Colombia,2025-11-18 00:00:00,1998
Colombia,2026-03-26 00:00:00,1986
Colombia,2026-03-29 00:00:00,1975
Colombia,2026-06-30 00:00:00,1994
Colombia,2026-07-04 00:00:00,2016
Colombia,2026-07-12,2022
Comoros,2025-10-12 00:00:00,1390
Comoros,2025-12-05 00:00:00,1374
Comoros,2025-12-21 00:00:00,1358
Costa Rica,2025-09-09 00:00:00,1665
Costa Rica,2025-11-13 00:00:00,1642
Costa Rica,2026-03-27 00:00:00,1634
Costa Rica,2026-03-31 00:00:00,1613
Croatia,2025-06-06 00:00:00,1912
Croatia,2025-06-09 00:00:00,1926
Croatia,2025-09-05 00:00:00,1928
Croatia,2025-09-08 00:00:00,1931
Croatia,2025-10-09 00:00:00,1927
Croatia,2025-10-12 00:00:00,1927
Croatia,2025-11-14 00:00:00,1928
Croatia,2025-11-17 00:00:00,1932
Croatia,2026-03-26 00:00:00,1944
Croatia,2026-03-31 00:00:00,1930
Croatia,2026-06-30 00:00:00,1927
Croatia,2026-07-04 00:00:00,1890
Croatia,2026-07-12,1890
Curaçao,2025-06-21 00:00:00,1410
Curaçao,2025-06-24 00:00:00,1396
Curaçao,2025-09-05 00:00:00,1402
Curaçao,2025-09-09 00:00:00,1407
Curaçao,2025-10-10 00:00:00,1442
Curaçao,2025-10-14 00:00:00,1435
Curaçao,2025-11-13 00:00:00,1456
Curaçao,2025-11-18 00:00:00,1466
Curaçao,2026-03-27 00:00:00,1440
Curaçao,2026-03-31 00:00:00,1436
Curaçao,2026-06-30 00:00:00,1448
Curaçao,2026-07-04 00:00:00,1464
Curaçao,2026-07-12,1464
Cyprus,2025-09-06 00:00:00,1298
Cyprus,2025-10-09 00:00:00,1317
Cyprus,2025-11-15 00:00:00,1320
Czech Republic,2025-06-06 00:00:00,1763
Czech Republic,2025-06-09 00:00:00,1749
Czech Republic,2025-09-05 00:00:00,1768
Czech Republic,2025-09-08 00:00:00,1761
Czech Republic,2025-10-09 00:00:00,1765
Czech Republic,2025-10-12 00:00:00,1730
Czech Republic,2025-11-13 00:00:00,1730
Czech Republic,2025-11-17 00:00:00,1731
Czech Republic,2026-03-26 00:00:00,1723
Czech Republic,2026-03-31 00:00:00,1726
Czech Republic,2026-06-30 00:00:00,1667
Czech Republic,2026-07-04 00:00:00,1624
Czech Republic,2026-07-12,1624
DR Congo,2025-10-10 00:00:00,1590
DR Congo,2025-10-14 00:00:00,1596
DR Congo,2025-11-13 00:00:00,1615
DR Congo,2025-11-16 00:00:00,1616
DR Congo,2025-12-23 00:00:00,1635
DR Congo,2025-12-27 00:00:00,1647
DR Congo,2025-12-30 00:00:00,1657
DR Congo,2026-01-06 00:00:00,1639
DR Congo,2026-03-25 00:00:00,1640
DR Congo,2026-03-31 00:00:00,1655
DR Congo,2026-06-30 00:00:00,1703
DR Congo,2026-07-04 00:00:00,1727
DR Congo,2026-07-12,1726
Denmark,2025-09-05 00:00:00,1853
Denmark,2025-11-18 00:00:00,1865
Denmark,2026-03-31 00:00:00,1870
Dominican Republic,2025-10-10 00:00:00,1285
Ecuador,2025-06-05 00:00:00,1909
Ecuador,2025-06-10 00:00:00,1905
Ecuador,2025-09-04 00:00:00,1906
Ecuador,2025-09-09 00:00:00,1933
Ecuador,2025-10-10 00:00:00,1929
Ecuador,2025-10-14 00:00:00,1930
Ecuador,2025-11-13 00:00:00,1929
Ecuador,2025-11-18 00:00:00,1933
Ecuador,2026-03-27 00:00:00,1929
Ecuador,2026-03-31 00:00:00,1933
Ecuador,2026-06-30 00:00:00,1891
Ecuador,2026-07-04 00:00:00,1823
Ecuador,2026-07-12,1825
Egypt,2025-11-14 00:00:00,1648
Egypt,2025-11-17 00:00:00,1644
Egypt,2025-12-09 00:00:00,1590
Egypt,2025-12-22 00:00:00,1608
Egypt,2025-12-26 00:00:00,1629
Egypt,2025-12-29 00:00:00,1623
Egypt,2026-01-05 00:00:00,1641
Egypt,2026-01-10 00:00:00,1668
Egypt,2026-01-14 00:00:00,1653
Egypt,2026-01-17 00:00:00,1659
Egypt,2026-03-27 00:00:00,1680
Egypt,2026-03-31 00:00:00,1689
Egypt,2026-06-30 00:00:00,1728
Egypt,2026-07-04 00:00:00,1758
Egypt,2026-07-12,1759
El Salvador,2025-06-24 00:00:00,1362
El Salvador,2025-10-10 00:00:00,1363
El Salvador,2025-11-18 00:00:00,1324
England,2025-06-07 00:00:00,2011
England,2025-06-10 00:00:00,1984
England,2025-09-06 00:00:00,1984
England,2025-09-09 00:00:00,2019
England,2025-10-09 00:00:00,2022
England,2025-10-14 00:00:00,2024
England,2025-11-13 00:00:00,2031
England,2025-11-16 00:00:00,2042
England,2026-03-27 00:00:00,2036
England,2026-03-31 00:00:00,2020
England,2026-06-30 00:00:00,2024
England,2026-07-04 00:00:00,2078
England,2026-07-12,2102
Equatorial Guinea,2025-12-31 00:00:00,1383
Estonia,2025-06-09 00:00:00,1366
Estonia,2025-11-13 00:00:00,1341
Eswatini,2025-10-13 00:00:00,1211
Faroe Islands,2025-09-05 00:00:00,1273
Faroe Islands,2025-10-12 00:00:00,1370
Faroe Islands,2025-11-14 00:00:00,1369
Finland,2025-06-07 00:00:00,1532
Finland,2025-09-04 00:00:00,1554
Finland,2025-10-12 00:00:00,1543
Finland,2026-03-27 00:00:00,1542
Finland,2026-03-30 00:00:00,1542
France,2025-06-05 00:00:00,2013
France,2025-06-08 00:00:00,2055
France,2025-09-05 00:00:00,2066
France,2025-09-09 00:00:00,2067
France,2025-10-10 00:00:00,2068
France,2025-10-13 00:00:00,2051
France,2025-11-13 00:00:00,2060
France,2025-11-16 00:00:00,2062
France,2026-03-26 00:00:00,2070
France,2026-03-29 00:00:00,2081
France,2026-06-30 00:00:00,2117
France,2026-07-04 00:00:00,2194
France,2026-07-12,2217
Gabon,2025-12-31 00:00:00,1405
Gabon,2026-03-27 00:00:00,1401
Gambia,2026-03-31 00:00:00,1423
Georgia,2025-06-08 00:00:00,1711
Georgia,2025-09-04 00:00:00,1692
Georgia,2025-10-11 00:00:00,1699
Georgia,2025-10-14 00:00:00,1685
Georgia,2025-11-15 00:00:00,1678
Germany,2025-06-04 00:00:00,1955
Germany,2025-06-08 00:00:00,1913
Germany,2025-09-04 00:00:00,1871
Germany,2025-09-07 00:00:00,1877
Germany,2025-10-10 00:00:00,1880
Germany,2025-10-13 00:00:00,1891
Germany,2025-11-14 00:00:00,1897
Germany,2025-11-17 00:00:00,1910
Germany,2026-03-27 00:00:00,1922
Germany,2026-03-30 00:00:00,1923
Germany,2026-06-30 00:00:00,1899
Germany,2026-07-04 00:00:00,1871
Germany,2026-07-12,1871
Ghana,2025-05-28 00:00:00,1451
Ghana,2025-05-31 00:00:00,1477
Ghana,2025-09-04 00:00:00,1466
Ghana,2025-09-08 00:00:00,1489
Ghana,2025-10-08 00:00:00,1504
Ghana,2025-10-12 00:00:00,1513
Ghana,2025-11-14 00:00:00,1511
Ghana,2025-11-18 00:00:00,1509
Ghana,2026-03-27 00:00:00,1506
Ghana,2026-03-30 00:00:00,1505
Ghana,2026-06-30 00:00:00,1574
Ghana,2026-07-04 00:00:00,1645
Ghana,2026-07-12,1644
Gibraltar,2025-06-06 00:00:00,1051
Gibraltar,2025-10-12 00:00:00,1023
Gibraltar,2025-11-17 00:00:00,1017
Greece,2025-10-09 00:00:00,1773
Greece,2025-11-15 00:00:00,1775
Greece,2026-03-27 00:00:00,1750
Guatemala,2025-06-29 00:00:00,1533
Guatemala,2025-07-02 00:00:00,1525
Guatemala,2025-09-08 00:00:00,1507
Guatemala,2025-11-13 00:00:00,1510
Guatemala,2026-03-27 00:00:00,1514
Haiti,2025-06-19 00:00:00,1473
Haiti,2025-06-22 00:00:00,1467
Haiti,2025-09-05 00:00:00,1474
Haiti,2025-09-09 00:00:00,1488
Haiti,2025-10-09 00:00:00,1517
Haiti,2025-10-13 00:00:00,1498
Haiti,2025-11-13 00:00:00,1527
Haiti,2025-11-18 00:00:00,1542
Haiti,2026-03-28 00:00:00,1530
Haiti,2026-03-31 00:00:00,1532
Haiti,2026-06-30 00:00:00,1507
Haiti,2026-07-04 00:00:00,1486
Haiti,2026-07-12,1486
Honduras,2025-06-24 00:00:00,1583
Honduras,2025-09-05 00:00:00,1578
Honduras,2025-10-13 00:00:00,1603
Hungary,2025-06-06 00:00:00,1697
Hungary,2025-09-09 00:00:00,1695
Hungary,2025-10-14 00:00:00,1718
Iceland,2025-06-06 00:00:00,1557
Iceland,2025-09-09 00:00:00,1562
Iceland,2025-10-13 00:00:00,1558
Iceland,2026-02-25 00:00:00,1562
Iceland,2026-03-28 00:00:00,1573
Iceland,2026-03-31 00:00:00,1571
Indonesia,2025-06-10 00:00:00,1357
Indonesia,2025-10-11 00:00:00,1341
Iran,2025-03-20 00:00:00,1843
Iran,2025-03-25 00:00:00,1830
Iran,2025-06-05 00:00:00,1798
Iran,2025-06-10 00:00:00,1801
Iran,2025-10-10 00:00:00,1762
Iran,2025-10-14 00:00:00,1764
Iran,2025-11-13 00:00:00,1756
Iran,2025-11-18 00:00:00,1755
Iran,2026-03-27 00:00:00,1739
Iran,2026-03-31 00:00:00,1760
Iran,2026-06-30 00:00:00,1751
Iran,2026-07-04 00:00:00,1747
Iran,2026-07-12,1747
Iraq,2025-06-05 00:00:00,1518
Iraq,2025-09-07 00:00:00,1564
Iraq,2025-10-11 00:00:00,1573
Iraq,2025-10-14 00:00:00,1580
Iraq,2025-11-13 00:00:00,1584
Iraq,2025-11-18 00:00:00,1596
Iraq,2025-12-03 00:00:00,1606
Iraq,2025-12-06 00:00:00,1620
Iraq,2025-12-09 00:00:00,1598
Iraq,2025-12-12 00:00:00,1582
Iraq,2026-03-31 00:00:00,1607
Iraq,2026-06-30 00:00:00,1583
Iraq,2026-07-04 00:00:00,1561
Iraq,2026-07-12,1559
Israel,2025-10-11 00:00:00,1628
Italy,2025-06-06 00:00:00,1881
Italy,2025-11-16 00:00:00,1859
Italy,2026-03-31 00:00:00,1856
Ivory Coast,2025-06-07 00:00:00,1576
Ivory Coast,2025-10-14 00:00:00,1599
Ivory Coast,2025-11-14 00:00:00,1591
Ivory Coast,2025-11-18 00:00:00,1607
Ivory Coast,2025-12-24 00:00:00,1618
Ivory Coast,2025-12-28 00:00:00,1615
Ivory Coast,2025-12-31 00:00:00,1627
Ivory Coast,2026-01-06 00:00:00,1664
Ivory Coast,2026-01-10 00:00:00,1637
Ivory Coast,2026-03-28 00:00:00,1663
Ivory Coast,2026-03-31 00:00:00,1676
Ivory Coast,2026-06-30 00:00:00,1723
Ivory Coast,2026-07-04 00:00:00,1747
Ivory Coast,2026-07-12,1755
Jamaica,2025-10-10 00:00:00,1535
Jamaica,2025-11-18 00:00:00,1528
Jamaica,2026-03-31 00:00:00,1535
Japan,2025-06-05 00:00:00,1854
Japan,2025-06-10 00:00:00,1857
Japan,2025-09-06 00:00:00,1882
Japan,2025-09-09 00:00:00,1863
Japan,2025-10-10 00:00:00,1860
Japan,2025-10-14 00:00:00,1871
Japan,2025-11-14 00:00:00,1873
Japan,2025-11-18 00:00:00,1878
Japan,2026-03-28 00:00:00,1888
Japan,2026-03-31 00:00:00,1904
Japan,2026-06-30 00:00:00,1882
Japan,2026-07-04 00:00:00,1868
Japan,2026-07-12,1868
Jordan,2025-11-14 00:00:00,1609
Jordan,2025-11-18 00:00:00,1609
Jordan,2025-12-03 00:00:00,1625
Jordan,2025-12-06 00:00:00,1635
Jordan,2025-12-09 00:00:00,1669
Jordan,2025-12-12 00:00:00,1685
Jordan,2025-12-15 00:00:00,1701
Jordan,2025-12-18 00:00:00,1689
Jordan,2026-03-27 00:00:00,1687
Jordan,2026-03-31 00:00:00,1690
Jordan,2026-06-30 00:00:00,1643
Jordan,2026-07-04 00:00:00,1587
Jordan,2026-07-12,1571
Kazakhstan,2025-09-07 00:00:00,1389
Kazakhstan,2025-11-15 00:00:00,1421
Kenya,2025-10-14 00:00:00,1354
Kenya,2025-11-18 00:00:00,1344
Kosovo,2025-09-05 00:00:00,1600
Kosovo,2025-09-08 00:00:00,1636
Kosovo,2025-10-13 00:00:00,1665
Kosovo,2025-11-18 00:00:00,1714
Kosovo,2026-03-31 00:00:00,1721
Kuwait,2025-06-10 00:00:00,1289
Kuwait,2025-10-10 00:00:00,1292
Kuwait,2025-12-06 00:00:00,1343
Latvia,2025-10-14 00:00:00,1278
Lebanon,2025-08-24 00:00:00,1344
Libya,2025-10-08 00:00:00,1430
Liechtenstein,2025-06-09 00:00:00,905
Liechtenstein,2025-09-04 00:00:00,904
Liechtenstein,2025-11-18 00:00:00,900
Lithuania,2025-09-07 00:00:00,1284
Lithuania,2025-11-17 00:00:00,1276
Luxembourg,2025-10-10 00:00:00,1413
Luxembourg,2025-11-14 00:00:00,1401
Malaysia,2025-06-03 00:00:00,1253
Mali,2025-09-08 00:00:00,1597
Mali,2025-11-18 00:00:00,1612
Mali,2025-12-26 00:00:00,1615
Mali,2026-01-03 00:00:00,1600
Mali,2026-01-09 00:00:00,1589
Malta,2025-06-10 00:00:00,1250
Malta,2025-10-09 00:00:00,1257
Malta,2025-10-12 00:00:00,1247
Mauritania,2026-03-27 00:00:00,1311
Mauritius,2025-09-04 00:00:00,1087
Mexico,2025-06-07 00:00:00,1802
Mexico,2025-06-10 00:00:00,1813
Mexico,2025-07-06 00:00:00,1861
Mexico,2025-09-06 00:00:00,1862
Mexico,2025-09-09 00:00:00,1859
Mexico,2025-10-11 00:00:00,1847
Mexico,2025-10-14 00:00:00,1846
Mexico,2025-11-15 00:00:00,1845
Mexico,2025-11-18 00:00:00,1834
Mexico,2026-01-22 00:00:00,1844
Mexico,2026-01-25 00:00:00,1852
Mexico,2026-02-25 00:00:00,1856
Mexico,2026-03-28 00:00:00,1857
Mexico,2026-03-31 00:00:00,1857
Mexico,2026-06-30 00:00:00,1903
Mexico,2026-07-04 00:00:00,1973
Mexico,2026-07-12,1982
Moldova,2025-09-09 00:00:00,1300
Montenegro,2025-06-06 00:00:00,1519
Montenegro,2025-09-05 00:00:00,1494
Montenegro,2025-09-08 00:00:00,1491
Montenegro,2025-11-17 00:00:00,1443
Morocco,2025-12-08 00:00:00,1826
Morocco,2025-12-18 00:00:00,1854
Morocco,2025-12-21 00:00:00,1856
Morocco,2025-12-26 00:00:00,1837
Morocco,2025-12-29 00:00:00,1840
Morocco,2026-01-04 00:00:00,1842
Morocco,2026-01-09 00:00:00,1852
Morocco,2026-01-14 00:00:00,1838
Morocco,2026-01-18 00:00:00,1806
Morocco,2026-03-27 00:00:00,1810
Morocco,2026-03-31 00:00:00,1821
Morocco,2026-06-30 00:00:00,1877
Morocco,2026-07-04 00:00:00,1961
Morocco,2026-07-12,1973
Mozambique,2025-12-24 00:00:00,1369
Netherlands,2025-06-07 00:00:00,1974
Netherlands,2025-06-10 00:00:00,1975
Netherlands,2025-09-04 00:00:00,1959
Netherlands,2025-09-07 00:00:00,1960
Netherlands,2025-10-09 00:00:00,1962
Netherlands,2025-10-12 00:00:00,1966
Netherlands,2025-11-14 00:00:00,1958
Netherlands,2025-11-17 00:00:00,1959
Netherlands,2026-03-27 00:00:00,1965
Netherlands,2026-03-31 00:00:00,1961
Netherlands,2026-06-30 00:00:00,1967
Netherlands,2026-07-04 00:00:00,1976
Netherlands,2026-07-12,1978
New Zealand,2025-06-07 00:00:00,1610
New Zealand,2025-06-10 00:00:00,1602
New Zealand,2025-09-05 00:00:00,1599
New Zealand,2025-09-09 00:00:00,1587
New Zealand,2025-10-09 00:00:00,1583
New Zealand,2025-10-14 00:00:00,1591
New Zealand,2025-11-15 00:00:00,1589
New Zealand,2025-11-18 00:00:00,1585
New Zealand,2026-03-27 00:00:00,1552
New Zealand,2026-03-30 00:00:00,1585
New Zealand,2026-06-30 00:00:00,1568
New Zealand,2026-07-04 00:00:00,1556
New Zealand,2026-07-12,1556
Nicaragua,2025-10-09 00:00:00,1302
Nicaragua,2025-11-18 00:00:00,1328
Nigeria,2025-05-28 00:00:00,1569
Nigeria,2025-09-09 00:00:00,1584
Nigeria,2025-11-16 00:00:00,1627
Nigeria,2025-12-27 00:00:00,1654
Nigeria,2026-01-10 00:00:00,1731
Nigeria,2026-01-14 00:00:00,1745
Nigeria,2026-01-17 00:00:00,1739
Nigeria,2026-03-27 00:00:00,1755
Nigeria,2026-03-31 00:00:00,1752
North Korea,2025-06-10 00:00:00,1375
North Macedonia,2025-06-06 00:00:00,1620
North Macedonia,2025-10-10 00:00:00,1638
Northern Ireland,2025-09-07 00:00:00,1585
Northern Ireland,2025-10-13 00:00:00,1607
Norway,2025-06-06 00:00:00,1862
Norway,2025-06-09 00:00:00,1866
Norway,2025-09-04 00:00:00,1868
Norway,2025-09-09 00:00:00,1870
Norway,2025-10-11 00:00:00,1880
Norway,2025-10-14 00:00:00,1872
Norway,2025-11-13 00:00:00,1874
Norway,2025-11-16 00:00:00,1922
Norway,2026-03-27 00:00:00,1916
Norway,2026-03-31 00:00:00,1912
Norway,2026-06-30 00:00:00,1930
Norway,2026-07-04 00:00:00,2000
Norway,2026-07-12,1989
Oman,2025-10-08 00:00:00,1520
Oman,2025-11-18 00:00:00,1492
Oman,2025-12-02 00:00:00,1460
Palestine,2025-12-01 00:00:00,1475
Palestine,2025-12-04 00:00:00,1483
Palestine,2025-12-11 00:00:00,1469
Panama,2025-09-04 00:00:00,1748
Panama,2025-09-08 00:00:00,1733
Panama,2025-10-10 00:00:00,1740
Panama,2025-10-14 00:00:00,1723
Panama,2025-11-13 00:00:00,1738
Panama,2025-11-18 00:00:00,1742
Panama,2026-01-18 00:00:00,1743
Panama,2026-01-22 00:00:00,1733
Panama,2026-03-27 00:00:00,1730
Panama,2026-03-31 00:00:00,1737
Panama,2026-06-30 00:00:00,1667
Panama,2026-07-04 00:00:00,1591
Panama,2026-07-12,1570
Paraguay,2025-06-05 00:00:00,1831
Paraguay,2025-06-10 00:00:00,1824
Paraguay,2025-09-04 00:00:00,1823
Paraguay,2025-09-09 00:00:00,1843
Paraguay,2025-10-10 00:00:00,1846
Paraguay,2025-10-14 00:00:00,1832
Paraguay,2025-11-15 00:00:00,1821
Paraguay,2025-11-18 00:00:00,1832
Paraguay,2026-03-27 00:00:00,1843
Paraguay,2026-03-31 00:00:00,1832
Paraguay,2026-06-30 00:00:00,1832
Paraguay,2026-07-04 00:00:00,1821
Paraguay,2026-07-12,1818
Peru,2025-06-06 00:00:00,1739
Peru,2025-06-10 00:00:00,1743
Peru,2025-09-04 00:00:00,1730
Peru,2025-09-09 00:00:00,1710
Peru,2026-03-28 00:00:00,1699
Poland,2025-09-04 00:00:00,1698
Poland,2025-10-09 00:00:00,1714
Poland,2025-11-14 00:00:00,1730
Poland,2026-03-31 00:00:00,1729
Portugal,2025-06-04 00:00:00,2020
Portugal,2025-06-08 00:00:00,2030
Portugal,2025-09-06 00:00:00,2033
Portugal,2025-09-09 00:00:00,2041
Portugal,2025-10-11 00:00:00,2043
Portugal,2025-10-14 00:00:00,2026
Portugal,2025-11-13 00:00:00,1974
Portugal,2025-11-16 00:00:00,1976
Portugal,2026-03-28 00:00:00,1975
Portugal,2026-03-31 00:00:00,1984
Portugal,2026-06-30 00:00:00,1974
Portugal,2026-07-04 00:00:00,1980
Portugal,2026-07-12,1979
Puerto Rico,2025-10-14 00:00:00,1134
Qatar,2025-06-05 00:00:00,1530
Qatar,2025-06-10 00:00:00,1517
Qatar,2025-08-24 00:00:00,1500
Qatar,2025-09-03 00:00:00,1496
Qatar,2025-09-07 00:00:00,1487
Qatar,2025-10-08 00:00:00,1483
Qatar,2025-10-14 00:00:00,1502
Qatar,2025-11-17 00:00:00,1486
Qatar,2025-12-01 00:00:00,1458
Qatar,2025-12-04 00:00:00,1454
Qatar,2025-12-07 00:00:00,1425
Qatar,2026-06-30 00:00:00,1427
Qatar,2026-07-04 00:00:00,1430
Qatar,2026-07-12,1432
Republic of Ireland,2025-10-11 00:00:00,1601
Republic of Ireland,2025-11-13 00:00:00,1659
Republic of Ireland,2026-03-26 00:00:00,1696
Romania,2025-06-07 00:00:00,1677
Romania,2025-09-05 00:00:00,1663
Romania,2025-10-12 00:00:00,1677
